@relation Cardiotocography
@attribute LB real
@attribute AC real
@attribute FM real
@attribute UC real
@attribute DL real
@attribute DS real
@attribute DP real
@attribute ASTV real
@attribute MSTV real
@attribute ALTV real
@attribute MLTV real
@attribute Width real
@attribute Min real
@attribute Max real
@attribute Nmax real
@attribute Nzeros real
@attribute Mode real
@attribute Mean real
@attribute Median real
@attribute Variance real
@attribute Tendency real
@attribute NSP {1,2,3}
@attribute class {1,2,3,4,5,6,7,8,9,10}
@data
137,0.005,0,0.005,0.002,0,0,36,0.9,0,5,63,115,178,4,0,148,148,149,9,0,1,2
139,0.002,0.007,0,0,0,0,55,0.8,8,8.9,63,127,190,7,1,144,146,147,4,-1,2,5
120,0,0,0.004,0.009,0,0.001,63,2,0,0,128,63,191,12,2,107,93,106,36,-1,3,8
130,0.006,0.441,0.005,0.005,0,0,24,2.1,0,10.9,125,53,178,5,0,143,128,138,70,1,1,6
120,0.004,0.01,0.004,0,0,0,37,1.5,0,11.3,96,78,174,4,0,119,132,128,51,0,1,2
125,0,0,0.005,0,0,0,45,0.7,33,7.7,19,122,141,0,0,131,130,131,1,0,1,1
128,0.006,0,0.002,0.01,0,0,16,3.3,0,3.7,114,57,171,6,1,136,130,136,26,1,1,6
142,0.016,0.071,0,0.002,0,0,32,3.1,0,1.6,149,51,200,10,0,167,154,160,55,1,1,4
133,0,0.001,0.003,0,0,0,77,0.8,16,5.8,17,130,147,1,0,135,135,137,1,0,1,1
137,0,0.019,0,0,0,0,64,0.4,12,8.6,22,131,153,1,0,145,143,145,1,0,2,10
126,0,0,0.008,0,0,0,34,1,0,15.2,33,109,142,1,0,134,131,134,3,1,1,1
126,0,0,0.004,0,0,0,32,0.9,4,11.2,31,110,141,1,0,126,125,127,2,0,1,1
124,0.008,0,0.004,0,0,0,46,1,0,9.3,92,63,155,6,0,133,133,134,7,1,1,2
150,0.002,0,0,0.003,0,0,47,1.4,10,12.1,145,52,197,8,0,159,154,157,13,1,2,7
125,0,0.001,0.007,0.007,0,0,61,1.8,0,5.1,73,74,147,4,0,130,117,125,26,1,1,7
118,0.002,0,0.005,0.002,0,0,25,1.4,22,7.9,88,72,160,2,2,126,120,123,11,0,1,6
135,0.008,0,0.005,0,0,0,58,1,0,4.7,58,113,171,3,0,141,144,146,10,0,1,2
137,0.012,0,0.003,0.004,0,0,58,1.7,0,1.7,136,52,188,7,1,149,145,158,44,1,1,6
134,0.003,0,0.007,0.005,0,0,25,1.9,11,9.8,96,82,178,5,0,147,135,138,43,0,1,6
129,0.006,0.017,0,0,0,0,44,1,0,4.8,36,120,156,2,0,133,133,133,3,0,1,1
133,0,0.011,0.004,0,0,0,69,0.3,29,5.6,12,129,141,1,0,137,135,137,0,0,2,10
125,0.008,0.015,0.001,0,0,0,48,0.8,0,4.9,63,82,145,9,0,133,132,133,3,1,1,2
123,0.008,0,0.003,0,0,0,39,1.5,0,16,95,51,146,6,1,129,128,130,9,1,1,2
131,0.01,0,0.002,0,0,0,25,1.3,0,6.8,82,87,169,5,0,136,141,141,9,0,1,2
138,0.009,0,0.005,0,0,0,57,0.8,0,7.3,41,127,168,2,0,148,145,148,6,0,1,2
140,0,0,0.006,0,0,0,83,0.2,48,5.4,20,132,152,2,0,145,145,146,0,0,1,1
144,0,0.001,0,0,0,0,51,1.1,10,21.7,115,71,186,9,0,153,151,153,6,1,2,5
141,0.002,0,0.007,0.005,0,0,25,1.8,1,12.6,86,85,171,9,0,145,141,145,17,1,1,7
120,0,0.016,0,0,0,0,56,0.5,12,8.5,30,103,133,2,0,120,121,122,1,0,1,1
144,0,0.007,0,0,0,0,61,0.5,7,9.5,39,125,164,3,0,144,143,144,1,0,2,10
