@relation Glass
@attribute RI real
@attribute Na real
@attribute Mg real
@attribute Al real
@attribute Si real
@attribute K real
@attribute Ca real
@attribute Ba real
@attribute Fe real
@attribute class {build_wind_float,build_wind_non-float,vehic_wind_float,vehic_wind_non-float,containers,tableware,headlamps}
@data
1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0,0.17,build_wind_non-float
1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0,0,build_wind_non-float
1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0,0,build_wind_float
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0,0,build_wind_float
1.51623,14.14,0,2.88,72.61,0.08,9.18,1.06,0,headlamps
1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0,0.1,build_wind_float
1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,build_wind_non-float
1.51609,15.01,0,2.51,73.05,0.05,8.83,0.53,0,headlamps
1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0,0,vehic_wind_float
1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0,0.17,build_wind_float
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,build_wind_non-float
1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0,0,build_wind_non-float
1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0,0.09,build_wind_non-float
1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0,0.16,build_wind_float
1.51685,14.92,0,1.99,73.06,0,8.4,1.59,0,headlamps
1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0,0,build_wind_float
1.52664,11.23,0,0.77,73.21,0,14.68,0,0,build_wind_non-float
1.51613,13.88,1.78,1.79,73.1,0,8.67,0.76,0,headlamps
1.51806,13,3.8,1.08,73.07,0.56,8.38,0,0.12,build_wind_non-float
1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0,0,build_wind_non-float
1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0,0,build_wind_non-float
